term,code,preferred_term,category
"Meditation, Transcendental",D019122,Meditation,treatments
Therapeutic Touch,D019124,Therapeutic Touch,treatments
"Touch, Therapeutic",D019124,Therapeutic Touch,treatments
Laying-on-of-Hands,D019124,Therapeutic Touch,treatments
"Antibodies, Blocking",D019138,"Antibodies, Blocking",drugs
Blocking Antibodies,D019138,"Antibodies, Blocking",drugs
Enhancing Antibodies,D019138,"Antibodies, Blocking",drugs
"Antibodies, Enhancing",D019138,"Antibodies, Blocking",drugs
Respiratory System Agents,D019141,Respiratory System Agents,drugs
"Agents, Respiratory System",D019141,Respiratory System Agents,drugs
Respiratory Stimulants,D019141,Respiratory System Agents,drugs
"Stimulants, Respiratory",D019141,Respiratory System Agents,drugs
Respiratory Stimulant,D019141,Respiratory System Agents,drugs
"Stimulant, Respiratory",D019141,Respiratory System Agents,drugs
"Hemorrhagic Fever, Ebola",D019142,"Hemorrhagic Fever, Ebola",diseases
Ebolavirus Infection,D019142,"Hemorrhagic Fever, Ebola",diseases
Ebolavirus Infections,D019142,"Hemorrhagic Fever, Ebola",diseases
"Infection, Ebolavirus",D019142,"Hemorrhagic Fever, Ebola",diseases
"Infections, Ebolavirus",D019142,"Hemorrhagic Fever, Ebola",diseases
Ebola Hemorrhagic Fever,D019142,"Hemorrhagic Fever, Ebola",diseases
Ebola Virus Disease,D019142,"Hemorrhagic Fever, Ebola",diseases
Ebola Virus Infection,D019142,"Hemorrhagic Fever, Ebola",diseases
"Infection, Ebola Virus",D019142,"Hemorrhagic Fever, Ebola",diseases
"Virus Infection, Ebola",D019142,"Hemorrhagic Fever, Ebola",diseases
Ebola Infection,D019142,"Hemorrhagic Fever, Ebola",diseases
"Infection, Ebola",D019142,"Hemorrhagic Fever, Ebola",diseases
Neuroaxonal Dystrophies,D019150,Neuroaxonal Dystrophies,diseases
"Dystrophy, Neuroaxonal",D019150,Neuroaxonal Dystrophies,diseases
Neuroaxonal Dystrophy,D019150,Neuroaxonal Dystrophies,diseases
NBIA2A,D019150,Neuroaxonal Dystrophies,diseases
Infantile Neuroaxonal Dystrophy,D019150,Neuroaxonal Dystrophies,diseases
"Dystrophy, Infantile Neuroaxonal",D019150,Neuroaxonal Dystrophies,diseases
"NBIA, PLA2G6-Related",D019150,Neuroaxonal Dystrophies,diseases
"NBIA, PLA2G6 Related",D019150,Neuroaxonal Dystrophies,diseases
PLA2G6-Related NBIA,D019150,Neuroaxonal Dystrophies,diseases
"Neuroaxonal Dystrophy, Infantile",D019150,Neuroaxonal Dystrophies,diseases
Neurodegeneration With Brain Iron Accumulation 2A,D019150,Neuroaxonal Dystrophies,diseases
"Neurodegeneration, PLA2G6-Associated",D019150,Neuroaxonal Dystrophies,diseases
"Neurodegeneration, PLA2G6 Associated",D019150,Neuroaxonal Dystrophies,diseases
PLA2G6-Associated Neurodegeneration,D019150,Neuroaxonal Dystrophies,diseases
Seitelberger Disease,D019150,Neuroaxonal Dystrophies,diseases
"Disease, Seitelberger",D019150,Neuroaxonal Dystrophies,diseases
Seitelberger's Disease,D019150,Neuroaxonal Dystrophies,diseases
"Disease, Seitelberger's",D019150,Neuroaxonal Dystrophies,diseases
Seitelbergers Disease,D019150,Neuroaxonal Dystrophies,diseases
Juvenile Neuroaxonal Dystrophy,D019150,Neuroaxonal Dystrophies,diseases
"Dystrophy, Juvenile Neuroaxonal",D019150,Neuroaxonal Dystrophies,diseases
"Neuroaxonal Dystrophy, Juvenile",D019150,Neuroaxonal Dystrophies,diseases
Adult Neuroaxonal Dystrophy,D019150,Neuroaxonal Dystrophies,diseases
"Dystrophy, Adult Neuroaxonal",D019150,Neuroaxonal Dystrophies,diseases
"Neuroaxonal Dystrophy, Adult",D019150,Neuroaxonal Dystrophies,diseases
Late Infantile Neuroaxonal Dystrophy,D019150,Neuroaxonal Dystrophies,diseases
"Neuroaxonal Dystrophy, Late Infantile",D019150,Neuroaxonal Dystrophies,diseases
Peptide Library,D019151,Peptide Library,drugs
"Libraries, Peptide",D019151,Peptide Library,drugs
"Library, Peptide",D019151,Peptide Library,drugs
Peptide Libraries,D019151,Peptide Library,drugs
Synthetic Peptide Combinatorial Library,D019151,Peptide Library,drugs
Synthetic Peptide Library,D019151,Peptide Library,drugs
"Libraries, Synthetic Peptide",D019151,Peptide Library,drugs
"Library, Synthetic Peptide",D019151,Peptide Library,drugs
"Peptide Libraries, Synthetic",D019151,Peptide Library,drugs
"Peptide Library, Synthetic",D019151,Peptide Library,drugs
Synthetic Peptide Libraries,D019151,Peptide Library,drugs
Random Peptide Library,D019151,Peptide Library,drugs
"Libraries, Random Peptide",D019151,Peptide Library,drugs
"Library, Random Peptide",D019151,Peptide Library,drugs
"Peptide Libraries, Random",D019151,Peptide Library,drugs
"Peptide Library, Random",D019151,Peptide Library,drugs
Random Peptide Libraries,D019151,Peptide Library,drugs
Phage Display Peptide Library,D019151,Peptide Library,drugs
Peptide Phage Display Library,D019151,Peptide Library,drugs
"Phage Display Library, Peptide",D019151,Peptide Library,drugs
Paracentesis,D019152,Paracentesis,exams
Paracenteses,D019152,Paracentesis,exams
Centesis,D019152,Paracentesis,exams
Centeses,D019152,Paracentesis,exams
Puncture and Drainage,D019152,Paracentesis,exams
Drainage and Puncture,D019152,Paracentesis,exams
Puncture and Aspiration,D019152,Paracentesis,exams
Aspiration and Puncture,D019152,Paracentesis,exams
Culdocentesis,D019152,Paracentesis,exams
Culdocenteses,D019152,Paracentesis,exams
Paracentesis,D019152,Paracentesis,treatments
Paracenteses,D019152,Paracentesis,treatments
Centesis,D019152,Paracentesis,treatments
Centeses,D019152,Paracentesis,treatments
Puncture and Drainage,D019152,Paracentesis,treatments
Drainage and Puncture,D019152,Paracentesis,treatments
Puncture and Aspiration,D019152,Paracentesis,treatments
Aspiration and Puncture,D019152,Paracentesis,treatments
Culdocentesis,D019152,Paracentesis,treatments
Culdocenteses,D019152,Paracentesis,treatments
Veterinary Drugs,D019155,Veterinary Drugs,drugs
"Drug, Veterinary",D019155,Veterinary Drugs,drugs
Veterinary Drug,D019155,Veterinary Drugs,drugs
"Drugs, Veterinary",D019155,Veterinary Drugs,drugs
"Pharmaceuticals, Veterinary",D019155,Veterinary Drugs,drugs
Veterinary Pharmaceuticals,D019155,Veterinary Drugs,drugs
"Ischemic Preconditioning, Myocardial",D019157,"Ischemic Preconditioning, Myocardial",treatments
Myocardial Ischemic Preconditioning,D019157,"Ischemic Preconditioning, Myocardial",treatments
"Preconditioning, Myocardial Ischemic",D019157,"Ischemic Preconditioning, Myocardial",treatments
Myocardial Preconditioning,D019157,"Ischemic Preconditioning, Myocardial",treatments
"Preconditioning, Myocardial",D019157,"Ischemic Preconditioning, Myocardial",treatments
N-Acetylneuraminic Acid,D019158,N-Acetylneuraminic Acid,drugs
"Acid, N-Acetylneuraminic",D019158,N-Acetylneuraminic Acid,drugs
N Acetylneuraminic Acid,D019158,N-Acetylneuraminic Acid,drugs
Sialic Acid,D019158,N-Acetylneuraminic Acid,drugs
"Acid, Sialic",D019158,N-Acetylneuraminic Acid,drugs
Nonheme Iron Proteins,D019159,Nonheme Iron Proteins,drugs
"Iron Proteins, Nonheme",D019159,Nonheme Iron Proteins,drugs
"Proteins, Nonheme Iron",D019159,Nonheme Iron Proteins,drugs
Non-Heme Iron Proteins,D019159,Nonheme Iron Proteins,drugs
Non Heme Iron Proteins,D019159,Nonheme Iron Proteins,drugs
"Proteins, Non-Heme Iron",D019159,Nonheme Iron Proteins,drugs
"Iron Proteins, Non-Heme",D019159,Nonheme Iron Proteins,drugs
"Iron Proteins, Non Heme",D019159,Nonheme Iron Proteins,drugs
Endosonography,D019160,Endosonography,exams
Endosonographies,D019160,Endosonography,exams
"Endoscopy, Echo",D019160,Endosonography,exams
Echo Endoscopies,D019160,Endosonography,exams
"Endoscopies, Echo",D019160,Endosonography,exams
Echo-Endoscopy,D019160,Endosonography,exams
Echo-Endoscopies,D019160,Endosonography,exams
Echo Endoscopy,D019160,Endosonography,exams
"Endoscopy, Ultrasonic",D019160,Endosonography,exams
"Endoscopies, Ultrasonic",D019160,Endosonography,exams
Ultrasonic Endoscopies,D019160,Endosonography,exams
Ultrasonic Endoscopy,D019160,Endosonography,exams
"Ultrasonography, Endoscopic",D019160,Endosonography,exams
Endoscopic Ultrasonography,D019160,Endosonography,exams
Endoscopic Ultrasonographies,D019160,Endosonography,exams
"Ultrasonographies, Endoscopic",D019160,Endosonography,exams
Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
Hydroxymethylglutaryl CoA Reductase Inhibitors,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Inhibitors, Hydroxymethylglutaryl-CoA Reductase",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Reductase Inhibitors, Hydroxymethylglutaryl-CoA",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
HMG-CoA Reductase Inhibitor,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
HMG CoA Reductase Inhibitor,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
Statin,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
Statins,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Inhibitors, HMG-CoA Reductase",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Inhibitors, HMG CoA Reductase",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Reductase Inhibitors, HMG-CoA",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
HMG-CoA Reductase Inhibitors,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
HMG CoA Reductase Inhibitors,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Inhibitors, Hydroxymethylglutaryl-Coenzyme A",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
Hydroxymethylglutaryl-Coenzyme A Inhibitors,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Inhibitors, Hydroxymethylglutaryl Coenzyme A",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Inhibitors, Hydroxymethylglutaryl-CoA",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
Hydroxymethylglutaryl-CoA Inhibitors,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Inhibitors, Hydroxymethylglutaryl CoA",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
Hydroxymethylglutaryl-CoA Reductase Inhibitor,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
Hydroxymethylglutaryl CoA Reductase Inhibitor,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Reductase Inhibitor, Hydroxymethylglutaryl-CoA",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Statins, HMG-CoA",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
HMG-CoA Statins,D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Statins, HMG CoA",D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,drugs
"Anesthetics, Combined",D019162,"Anesthetics, Combined",drugs
Combined Anesthetics,D019162,"Anesthetics, Combined",drugs
Reducing Agents,D019163,Reducing Agents,drugs
"Agents, Reducing",D019163,Reducing Agents,drugs
Reductant,D019163,Reducing Agents,drugs
Reducing Agent,D019163,Reducing Agents,drugs
"Agent, Reducing",D019163,Reducing Agents,drugs
Reductants,D019163,Reducing Agents,drugs
Appetite Stimulants,D019167,Appetite Stimulants,drugs
"Stimulants, Appetite",D019167,Appetite Stimulants,drugs
Appetite-Stimulating Drugs,D019167,Appetite Stimulants,drugs
Appetite Stimulating Drugs,D019167,Appetite Stimulants,drugs
"Drugs, Appetite-Stimulating",D019167,Appetite Stimulants,drugs
"Portasystemic Shunt, Transjugular Intrahepatic",D019168,"Portasystemic Shunt, Transjugular Intrahepatic",treatments
"Shunt, Transjugular Intrahepatic Portasystemic",D019168,"Portasystemic Shunt, Transjugular Intrahepatic",treatments
TIPS,D019168,"Portasystemic Shunt, Transjugular Intrahepatic",treatments
"Shunt, Transjugular Intrahepatic Portosystemic",D019168,"Portasystemic Shunt, Transjugular Intrahepatic",treatments
"Portosystemic Shunt, Transjugular Intrahepatic",D019168,"Portasystemic Shunt, Transjugular Intrahepatic",treatments
TIPSS,D019168,"Portasystemic Shunt, Transjugular Intrahepatic",treatments
Transjugular Intrahepatic Portasystemic Shunt,D019168,"Portasystemic Shunt, Transjugular Intrahepatic",treatments
Transplantation Conditioning,D019172,Transplantation Conditioning,treatments
"Conditioning, Transplantation",D019172,Transplantation Conditioning,treatments
"Conditionings, Transplantation",D019172,Transplantation Conditioning,treatments
Transplantation Conditionings,D019172,Transplantation Conditioning,treatments
Mandibular Advancement,D019186,Mandibular Advancement,treatments
"Advancement, Mandibular",D019186,Mandibular Advancement,treatments
Cadmium Compounds,D019187,Cadmium Compounds,drugs
"Compounds, Cadmium",D019187,Cadmium Compounds,drugs
Organ Preservation Solutions,D019188,Organ Preservation Solutions,drugs
"Preservation Solutions, Organ",D019188,Organ Preservation Solutions,drugs
"Solutions, Organ Preservation",D019188,Organ Preservation Solutions,drugs
Tissue Preservation Solutions,D019188,Organ Preservation Solutions,drugs
"Preservation Solutions, Tissue",D019188,Organ Preservation Solutions,drugs
"Solutions, Tissue Preservation",D019188,Organ Preservation Solutions,drugs
Iron Metabolism Disorders,D019189,Iron Metabolism Disorders,diseases
"Disorder, Iron Metabolism",D019189,Iron Metabolism Disorders,diseases
"Disorders, Iron Metabolism",D019189,Iron Metabolism Disorders,diseases
Iron Metabolism Disorder,D019189,Iron Metabolism Disorders,diseases
"Metabolism Disorder, Iron",D019189,Iron Metabolism Disorders,diseases
"Metabolism Disorders, Iron",D019189,Iron Metabolism Disorders,diseases
Iron Overload,D019190,Iron Overload,diseases
"Overload, Iron",D019190,Iron Overload,diseases
Ischemic Preconditioning,D019194,Ischemic Preconditioning,treatments
"Preconditioning, Ischemic",D019194,Ischemic Preconditioning,treatments
Ischemic Pre-Conditioning,D019194,Ischemic Preconditioning,treatments
Ischemic Pre Conditioning,D019194,Ischemic Preconditioning,treatments
"Pre-Conditioning, Ischemic",D019194,Ischemic Preconditioning,treatments
GTP-Binding Proteins,D019204,GTP-Binding Proteins,drugs
GTP Binding Proteins,D019204,GTP-Binding Proteins,drugs
"Proteins, GTP-Binding",D019204,GTP-Binding Proteins,drugs
G-Proteins,D019204,GTP-Binding Proteins,drugs
G Proteins,D019204,GTP-Binding Proteins,drugs
GTP-Binding Protein,D019204,GTP-Binding Proteins,drugs
GTP Binding Protein,D019204,GTP-Binding Proteins,drugs
"Protein, GTP-Binding",D019204,GTP-Binding Proteins,drugs
GTP-Regulatory Protein,D019204,GTP-Binding Proteins,drugs
GTP Regulatory Protein,D019204,GTP-Binding Proteins,drugs
"Protein, GTP-Regulatory",D019204,GTP-Binding Proteins,drugs
GTP-Regulatory Proteins,D019204,GTP-Binding Proteins,drugs
GTP Regulatory Proteins,D019204,GTP-Binding Proteins,drugs
"Proteins, GTP-Regulatory",D019204,GTP-Binding Proteins,drugs
Guanine Nucleotide Coupling Protein,D019204,GTP-Binding Proteins,drugs
G-Protein,D019204,GTP-Binding Proteins,drugs
G Protein,D019204,GTP-Binding Proteins,drugs
Guanine Nucleotide Regulatory Proteins,D019204,GTP-Binding Proteins,drugs
"GTP-Binding Protein alpha Subunits, Gs",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"GTP Binding Protein alpha Subunits, Gs",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"Gs, Stimulatory G-Protein",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"G-Protein Gs, Stimulatory",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"Gs, Stimulatory G Protein",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
Stimulatory G-Protein Gs,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"G-Protein, Stimulatory Gs",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"G Protein, Stimulatory Gs",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"Gs G-Protein, Stimulatory",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
Stimulatory Gs G-Protein,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"G(s), alpha Subunit",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
G(s)alpha,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
alpha-Gs,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
alpha Gs,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"Stimulatory GTP-Binding Protein, alpha Subunit",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"Stimulatory GTP Binding Protein, alpha Subunit",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"G-Protein, Gs alpha Family",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"G Protein, Gs alpha Family",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
Gs Stimulatory G-Proteins,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"G-Proteins, Gs Stimulatory",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
Gs Stimulatory G Proteins,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"Stimulatory G-Proteins, Gs",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"Ns Protein, Regulatory",D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
Regulatory Ns Protein,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
Gs alpha GTP-Binding Protein Subunits,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
Gs alpha GTP Binding Protein Subunits,D019205,"GTP-Binding Protein alpha Subunits, Gs",drugs
"GTP-Binding Protein alpha Subunits, Gi-Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP Binding Protein alpha Subunits, Gi Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Protein, Gi-Go alpha Family",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G Protein, Gi Go alpha Family",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Protein, Gi-Go Subunits",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Gi-Go Subunits G-Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G Protein, Gi Go Subunits",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Subunits G-Protein, Gi-Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Gi-Go G-Proteins,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Gi Go G Proteins,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Proteins, Gi-Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP-Binding Protein alpha Subunit, Gi",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP Binding Protein alpha Subunit, Gi",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Gi, Inhibitory G-Protein",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Gi, Inhibitory G Protein",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Inhibitory G-Protein Gi,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Protein, Inhibitory Gi",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Gi G-Protein, Inhibitory",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G Protein, Inhibitory Gi",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Inhibitory Gi G-Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Ni Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Protein, Gi Subunit",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Gi Subunit G-Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G Protein, Gi Subunit",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Subunit G-Protein, Gi",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Gi alpha Subunit,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"alpha Subunit, Gi",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Subunit, Gi alpha",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Gi-Alpha Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Gi Alpha Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP-Binding Protein alpha Subunit, GoA",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP Binding Protein alpha Subunit, GoA",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
G Protein Subunit alphaoA,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP-Binding Protein alpha Subunit, GoC",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP Binding Protein alpha Subunit, GoC",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
G Protein Subunit alphaoC,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP-Binding Protein alpha Subunit, Go1",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP Binding Protein alpha Subunit, Go1",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
G(o1)alpha,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Protein, Go1 Subunit",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Go1 Subunit G-Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G Protein, Go1 Subunit",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Subunit G-Protein, Go1",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP-Binding Protein alpha Subunit, Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"GTP Binding Protein alpha Subunit, Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Guanine Nucleotide-Binding Protein Go,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Guanine Nucleotide Binding Protein Go,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
G(o) Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
G Protein Go,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Go, G Protein",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Protein, Go Subunit",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Go Subunit G-Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G Protein, Go Subunit",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Subunit G-Protein, Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Go Alpha Subunit,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Alpha Subunit, Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Subunit, Go Alpha",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G-Protein, Inhibitory Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"Go G-Protein, Inhibitory",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
"G Protein, Inhibitory Go",D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
Inhibitory Go G-Protein,D019206,"GTP-Binding Protein alpha Subunits, Gi-Go",drugs
beta Carotene,D019207,beta Carotene,drugs
"Carotene, beta",D019207,beta Carotene,drugs
beta-Carotene,D019207,beta Carotene,drugs
Betacarotene,D019207,beta Carotene,drugs
Vetoron,D019207,beta Carotene,drugs
BellaCarotin,D019207,beta Carotene,drugs
Carotaben,D019207,beta Carotene,drugs
Max-Caro,D019207,beta Carotene,drugs
MaxCaro,D019207,beta Carotene,drugs
Max Caro,D019207,beta Carotene,drugs
Provatene,D019207,beta Carotene,drugs
Solatene,D019207,beta Carotene,drugs
Brain-Derived Neurotrophic Factor,D019208,Brain-Derived Neurotrophic Factor,drugs
Brain Derived Neurotrophic Factor,D019208,Brain-Derived Neurotrophic Factor,drugs
"Factor, Brain-Derived Neurotrophic",D019208,Brain-Derived Neurotrophic Factor,drugs
"Neurotrophic Factor, Brain-Derived",D019208,Brain-Derived Neurotrophic Factor,drugs
BDNF,D019208,Brain-Derived Neurotrophic Factor,drugs
Troponin C,D019209,Troponin C,drugs
Troponin-C,D019209,Troponin C,drugs
Troponin C1,D019209,Troponin C,drugs
Troponin C2,D019209,Troponin C,drugs
Troponin I,D019210,Troponin I,drugs
Troponin-I,D019210,Troponin I,drugs
Troponin I1,D019210,Troponin I,drugs
Troponin I2,D019210,Troponin I,drugs
Troponin I3,D019210,Troponin I,drugs
Gingival Overgrowth,D019214,Gingival Overgrowth,diseases
Gingival Overgrowths,D019214,Gingival Overgrowth,diseases
"Overgrowth, Gingival",D019214,Gingival Overgrowth,diseases
"Overgrowths, Gingival",D019214,Gingival Overgrowth,diseases
"Metals, Heavy",D019216,"Metals, Heavy",drugs
Heavy Metals,D019216,"Metals, Heavy",drugs
Heavy Metal,D019216,"Metals, Heavy",drugs
"Metal, Heavy",D019216,"Metals, Heavy",drugs
Tooth Attrition,D019217,Tooth Attrition,diseases
"Attrition, Tooth",D019217,Tooth Attrition,diseases
"Attrition, Dental",D019217,Tooth Attrition,diseases
Dental Attritions,D019217,Tooth Attrition,diseases
Dental Attrition,D019217,Tooth Attrition,diseases
Occlusal Wear,D019217,Tooth Attrition,diseases
Occlusal Wears,D019217,Tooth Attrition,diseases
"Wear, Occlusal",D019217,Tooth Attrition,diseases
"Wears, Occlusal",D019217,Tooth Attrition,diseases
Oral Ulcer,D019226,Oral Ulcer,diseases
Oral Ulcers,D019226,Oral Ulcer,diseases
"Ulcer, Oral",D019226,Oral Ulcer,diseases
"Ulcers, Oral",D019226,Oral Ulcer,diseases
Mouth Ulcer,D019226,Oral Ulcer,diseases
Mouth Ulcers,D019226,Oral Ulcer,diseases
"Ulcer, Mouth",D019226,Oral Ulcer,diseases
"Ulcers, Mouth",D019226,Oral Ulcer,diseases
Retreatment,D019233,Retreatment,treatments
Retreatments,D019233,Retreatment,treatments
"RNA, Satellite",D019244,"RNA, Satellite",drugs
Satellite RNA,D019244,"RNA, Satellite",drugs
Satellite RNAs,D019244,"RNA, Satellite",drugs
"RNAs, Satellite",D019244,"RNA, Satellite",drugs
HIV Wasting Syndrome,D019247,HIV Wasting Syndrome,diseases
AIDS Wasting Syndrome,D019247,HIV Wasting Syndrome,diseases
"Wasting Syndrome, AIDS",D019247,HIV Wasting Syndrome,diseases
HIV Wasting Disease,D019247,HIV Wasting Syndrome,diseases
"Wasting Disease, HIV",D019247,HIV Wasting Syndrome,diseases
"Wasting Syndrome, HIV",D019247,HIV Wasting Syndrome,diseases
Slim Disease,D019247,HIV Wasting Syndrome,diseases
Jaw Fixation Techniques,D019248,Jaw Fixation Techniques,treatments
"Fixation Technique, Jaw",D019248,Jaw Fixation Techniques,treatments
"Fixation Techniques, Jaw",D019248,Jaw Fixation Techniques,treatments
